"","ID","URL","Title","body","Country","Group","Protest","Protest_Typ","Discrim","Discrim_Type"
"11",44,"https://www.novinite.com/articles/202897/Turkey%2C+Greece+and+Germany+are+the+Most+Preferred+Destinations+for+Bulgarians+in+December","Turkey, Greece and Germany are the Most Preferred Destinations for Bulgarians in December  Novinite.com  Sofia News Agency","HOT: » Greek Ambassador: Bulgaria is our Most Important Economic and Trade partner in the Region #AmbassadorTalks  In December 2019, the number of the trips of Bulgarian residents abroad was 529.3 thousand or by 10.6% above the registered in December 2018. In comparison with the same month of the previous year, an increase was observed in the total number of the trips of Bulgarians to: Serbia - by 28.6%, Romania - by 16.5%, Turkey - by 15.9%, Germany - by 12.9%, Republic of North Macedonia - by 8.2%, Greece - by 2.8%, and etc. At the same time decreased the trips to: France - by 6.3%, Sweden - by 4.3%, Slovenia - by 2.4%, and etc, the National Statistical Institute (NSI) reported. In comparison with December 2018, an increase in the trips with all observed purposes was registered: ‘holiday and recreation’ - by 14.4%, ‘professional’ - by 12.6%, and ‘others’ - by 7.6%. The trips with other purposes (as a guest, education and visit the cultural and sport events) in December 2019 composed the greatest share of the total number of trips of Bulgarian residents abroad - 48.1%, followed by those with holiday and recreation purposes - 28.5%, and with professional purpose - 23.4%. In December 2019 most trips of Bulgarian citizens were made to: Turkey - 130.1 thousand, Greece - 91.3 thousand, Germany - 46.6 thousand, Serbia - 46.4 thousand, Romania - 39.9 thousand, Republic of North Macedonia - 35.5 thousand, Italy - 18.1 thousand, Austria - 17.7 thousand, the United Kingdom - 12.1 thousand, Spain - 11.8 thousand We need your support so Novinite.com can keep delivering news and information about Bulgaria! Thank you! Google Street View is again on its way through Bulgaria Bulgaria has the Largest Gray Economy in Europe","BUL","bulgarian",0,0,0,0
"12",45,"https://www.thebaghdadpost.com/en/Story/45688/Bulgariansprotestseverewatershortageinindustrialcity","Bulgarians protest severe water shortage in industrial city","NULL","none","none",0,0,0,0
"13",47,"https://www.thestar.com/news/world/europe/2020/01/25/bulgariansprotestseverewatershortageinindustrialcity.html","Bulgarians protest severe water shortage in industrial city | The Star","NULL","BUL","bulgarian",1,2,0,0
"14",50,"http://goacom.com/policearrest2bulgariansforattemptedatmfraud/","Police arrest 2 Bulgarians for attempted ATM fraud","NULL","none","none",0,0,0,0
"15",53,"https://www.youtube.com/watch?v=ZFTH1WcbKdw","Beastly Bulgarians | FM20 | Build a Nation Challenge | Ep 45 | SEMI TIME","","none","none",0,0,0,0
"16",54,"https://technewstube.com/theregister/1198843/nottrueonewantsukdomainslookbulgarianssigned/","It’s not true no one wants .uk domains – just look at all these Bulgarians who signed up to nab expired addresses","","none","bulgarian",0,0,0,0
"17",64,"http://www.naharnet.com/stories/en/268643","Bulgarians' Patience Runs Dry over Water Crisis"," Forced to ""live without water, in the 21st century, in a European Union country"": Bulgarian Yana Stoyanova is not bemoaning climate change, but the incompetence of the authorities which has left some 100,000 people with an acute water shortage. Accountant Stoyanova does not live in an isolated backwater, but around 30 kilometers (19 miles) from the capital Sofia. She is at the sharp end of a crisis which has led to the environment minister being charged with mismanagement and forced to resign. It also prompted a parliamentary vote of no confidence on Wednesday in the government -- which it survived. But the scandal has fed public anger at the failures of those running the EU's poorest country. The western Bulgarian city of Pernik should have a plentiful supply of water from the nearby Studena dam. However, the reservoir there is practically empty, with most of the bed now lying exposed. Pernik residents meanwhile are receiving murky, undrinkable water -- and even that only between 4pm and 10pm (1400-2000 GMT). For three months now, the daily routine for 36-year-old Stoyanova and her electrical engineer husband has revolved around the shortage. ""When we get back from work at 7pm, we run to take a shower and try to wash everything before 10pm,"" she explains, with buckets and containers being filled before the taps run dry. ""I try to cook with mineral water, I wash dishes with it and of course I only drink mineral water,"" says 56-year-old Adelina Ivanova, who has to haul the bottles up seven flights of stairs. ""The meaning of your life in a given day is: 'Will I manage to take a shower?', and being so happy when you do,"" Ivanova says. ""It's absurd for a civilized person to be reduced to that."" - 'Corruption, not climate' - Bulgaria has had a drier winter than normal and during 2019 received 25 percent less rainfall than average, in what was the second-hottest year on record. But residents are clear on where they place the blame for the crisis. ""We are victims of negligence and corruption, not the climate,"" sighs 67-year-old Ivan Dragov, who used to work in the area's water distribution network. Prosecutors accuse the former Environment and Water Minister Neno Dimov of ignoring warnings about the falling water levels at the reservoir, as well as continuing to allow a local steelworks to draw water from it. ""Thirty years ago, around a dozen businesses were operating in the area and the water level was monitored daily,"" says Dragov, adding that there were no shortages for residents back then. Pernik's former mayor has also been charged with abuse of power over her refusal to enforce rationing during her campaign for re-election last autumn -- which she went on to lose anyway. On Saturday, hundreds of residents took their anger to government headquarters in Sofia, shouting ""resign!"", ""killers!"" and ""Mafia!"" - 'Bottomless barrel' - The crisis in Pernik has also thrown a spotlight on Bulgaria's dilapidated water infrastructure, which results in around 60 percent of water being lost through leaks. In Pernik, the pipes date from the 1960s and 70s and the losses can reach up to 75 percent. The new Environment Minister Emil Dimitrov has compared the network to a ""bottomless barrel"". The leaks leave up to 315,000 people -- in a country of seven million -- facing regular water shortages, particularly in summer. The government has said that cutting down on these losses is a priority, and has pledged 900 million euros ($990 million) to renew this infrastructure in the next two years. However, the total cost of bringing it up to scratch is estimated at six billion euros. If the situation in Pernik does not improve, authorities have warned that water could run out completely by April. Even to maintain the current six hours of daily supply, the government is having to divert water from another reservoir, with 13 kilometers of pipes still needing to be installed to complete the link. As for Stoyanova, the crisis has only confirmed her bleak opinion of her country's situation. She is encouraging her daughters, aged 5 and 9, to learn English. ""They don't have a future here. We're preparing them to leave Bulgaria as soon as they're adults."" Login using your Naharnet account","BUL","bulgarian",1,1,0,0
"18",66,"https://today.rtl.lu/news/scienceandenvironment/a/1463392.html","Acute water shortage: Bulgarians' patience runs dry over water crisis","The western Bulgarian city of Pernik should have a plentiful supply of water from the nearby Studena dam, but the reservoir there is practically empty / © AFP Forced to ""live without water, in the 21st century, in a European Union country"": Bulgarian Yana Stoyanova is not bemoaning climate change, but the incompetence of the authorities which has left some 100,000 people with an acute water shortage. Accountant Stoyanova does not live in an isolated backwater, but around 30 kilometres (19 miles) from the capital Sofia. She is at the sharp end of a crisis which has led to the environment minister being charged with mismanagement and forced to resign. It also prompted a parliamentary vote of no confidence on Wednesday in the government -- which it survived. But the scandal has fed public anger at the failures of those running the EU's poorest country. The western Bulgarian city of Pernik should have a plentiful supply of water from the nearby Studena dam. However, the reservoir there is practically empty, with most of the bed now lying exposed. Pernik residents are at the sharp end of a crisis which has led to the environment minister being charged with mismanagement and forced to resign / © AFP Pernik residents meanwhile are receiving murky, undrinkable water -- and even that only between 4pm and 10pm (1400-2000 GMT). For three months now, the daily routine for 36-year-old Stoyanova and her electrical engineer husband has revolved around the shortage. ""When we get back from work at 7pm, we run to take a shower and try to wash everything before 10pm,"" she explains, with buckets and containers being filled before the taps run dry. ""I try to cook with mineral water, I wash dishes with it and of course I only drink mineral water,"" says 56-year-old Adelina Ivanova, who has to haul the bottles up seven flights of stairs. ""The meaning of your life in a given day is: 'Will I manage to take a shower?', and being so happy when you do,"" Ivanova says. ""It's absurd for a civilised person to be reduced to that."" - 'Corruption, not climate' - Bulgaria has had a drier winter than normal and during 2019 received 25 percent less rainfall than average, in what was the second-hottest year on record. But residents are clear on where they place the blame for the crisis. Adelina Ivanova has to haul bottles of mineral water up seven flights of stairs / © AFP ""We are victims of negligence and corruption, not the climate,"" sighs 67-year-old Ivan Dragov, who used to work in the area's water distribution network. Prosecutors accuse the former Environment and Water Minister Neno Dimov of ignoring warnings about the falling water levels at the reservoir, as well as continuing to allow a local steelworks to draw water from it. ""Thirty years ago, around a dozen businesses were operating in the area and the water level was monitored daily,"" says Dragov, adding that there were no shortages for residents back then. Pernik's former mayor has also been charged with abuse of power over her refusal to enforce rationing during her campaign for re-election last autumn -- which she went on to lose anyway. On Saturday, hundreds of residents took their anger to government headquarters in Sofia, shouting ""resign!"", ""killers!"" and ""Mafia!"" - 'Bottomless barrel' - The crisis in Pernik has also thrown a spotlight on Bulgaria's dilapidated water infrastructure, which results in around 60 percent of water being lost through leaks. In Pernik, the pipes date from the 1960s and 70s and the losses can reach up to 75 percent. The new Environment Minister Emil Dimitrov has compared the network to a ""bottomless barrel"". The leaks leave up to 315,000 people -- in a country of seven million -- facing regular water shortages, particularly in summer. The government has said that cutting down on these losses is a priority, and has pledged 900 million euros ($990 million) to renew this infrastructure in the next two years. However, the total cost of bringing it up to scratch is estimated at six billion euros. If the situation in Pernik does not improve, authorities warn that water could run out completely by April / © AFP If the situation in Pernik does not improve, authorities have warned that water could run out completely by April. Even to maintain the current six hours of daily supply, the government is having to divert water from another reservoir, with 13 kilometres of pipes still needing to be installed to complete the link. As for Stoyanova, the crisis has only confirmed her bleak opinion of her country's situation. She is encouraging her daughters, aged 5 and 9, to learn English. ""They don't have a future here. We're preparing them to leave Bulgaria as soon as they're adults.""","BUL","bulgarian",1,1,0,0
"19",67,"https://bbj.hu/region/morethan13ofbulgarianscantaffordtoheattheirhomesufficiently_176320","More than 1/3 of Bulgarians can’t afford to heat their home sufficiently","ADVERTISEMENT BBJ Wednesday, Jan 8, 2020, 16:00 Photo by NinaMalyna / Shutterstock.com EU statistical body Eurostat has found that Bulgaria has the highest share of its population who say they cannot afford to adequately heat their home, according to data from 2018 just published. In 2018, 7% of the European Union population said in an EU-wide survey that they could not afford to heat their home sufficiently. This share peaked in 2012 (11%), and has fallen continuously in subsequent years, Eurostat reported. The largest share of people who said that they could not afford to keep their home adequately warm was recorded in Bulgaria (34%), followed by Lithuania (28%), Greece (23%), Cyprus (22%), Portugal (19%) and Italy (14%). In contrast, the lowest shares (around 2%) were recorded in Austria, Finland, Luxembourg, the Netherlands, Estonia and Sweden, Eurostat said. ADVERTISEMENT Continental Dohányipari Revenue Nears HUF 64 bln in 2022 Parl't Approves Amendments to Legislation on Judiciary CEE VC Funding Nosedives in Q1 - Vestbee Borsodi Friss Receives Revamped Look SUPPORT THE BUDAPEST BUSINESS JOURNAL Producing journalism that is worthy of the name is a costly business. For 27 years, the publishers, editors and reporters of the Budapest Business Journal have striven to bring you business news that works, information that you can trust, that is factual, accurate and presented without fear or favor. Newspaper organizations across the globe have struggled to find a business model that allows them to continue to excel, without compromising their ability to perform. Most recently, some have experimented with the idea of involving their most important stakeholders, their readers. We would like to offer that same opportunity to our readers. We would like to invite you to help us deliver the quality business journalism you require. Hit our Support the BBJ button and you can choose the how much and how often you send us your contributions. ADVERTISEMENT Foreign Affairs Hungary Presses Brussels for Support to Manage Grain Glut Politics Foreign Affairs | May 31, 2023, 14:40 EC Approves Changes to Paks Expansion Contract Politics Foreign Affairs | May 30, 2023, 08:45 Talks With EP Cont Committee Delegation 'Objective' - Minist... Politics Foreign Affairs | May 18, 2023, 12:55 ADVERTISEMENT Top Stories Continental Dohányipari Revenue Nears HUF 64 bln in 2022 Economy Statistics | May 31, 2023, 16:55 CEE VC Funding Nosedives in Q1 - Vestbee Business Startups | May 31, 2023, 15:50 Hungary Presses Brussels for Support to Manage Grain Glut Politics Foreign Affairs | May 31, 2023, 14:40 Podcasts Fortitude and Servant Leadership - Sister Laura Discusses Human Dignity and the Roles of Aristotle and Thomas Aquinas in Business Leadership Apr 26, 2023, 10:00 Examining the Factors Driving the Markets Apr 4, 2023, 11:50 'Agility is Crucial' - BBJ CEO Breakfast Briefing Mar 16, 2023, 14:30 ADVERTISEMENT ADVERTISEMENT ADVERTISEMENT ADVERTISEMENT ADVERTISEMENT © 2023 Business Publishing Services Kft. or its affiliated companies. All rights reserved.","BUL","bulgarian",0,0,0,0
"20",68,"https://www.youtube.com/watch?v=TKd_cNcWWNA","Comparing Phenotypes of Greeks,Bulgarians and Turks","","none","none",0,0,0,0
"21",69,"https://www.youtube.com/watch?v=LhhGpZYtEk4","Oasis | Bulgarians Mirror | Konnik Party!","","none","bulgarian",0,0,0,0
"22",71,"https://www.republicworld.com/worldnews/restoftheworldnews/bulgariansprotestseverewatershortageinindustrialcity.html","Bulgarians protest severe water shortage in industrial city  Republic World","NULL","BUL","bulgarian",1,1,0,0
"23",72,"https://www.youtube.com/watch?v=qVW3S5tmsQ","Empty dam reservoir prompts water rationing for 100,000 Bulgarians","","BUL","bulgarian",0,0,0,0
"24",74,"https://thebalisun.com/2morebulgarianstakendowninyetanotheratmskimmingschemeinkuta/","2 More Bulgarians Taken Down In Yet Another ATM Skimming Scheme In Kuta  The Bali Sun","NULL","BUL","bulgarian",0,0,0,0
"25",77,"https://www.novinite.com/articles/203297/Only+30+of+Bulgarians+Brush+their+Teeth","Only 30% of Bulgarians Brush their Teeth  Novinite.com  Sofia News Agency","HOT: » Greek Ambassador: Bulgaria is our Most Important Economic and Trade partner in the Region #AmbassadorTalks  Lack of prophylaxis, poor hygiene and systematic neglect of oral health are the reasons for the frightening dental picture in Bulgaria - the President of the Bulgarian Dental Association, Dr. Nikolay Sharkov, said in an interview with BNT. Official statistics show that 18-year-olds in Bulgaria have an average of 6 caries and 1 permanent tooth extracted. In the age group of 35 to 44 years, the number of missing teeth increases to 6. ""Bulgarians do not buy toothpaste. We find that only about 30% of them buy toothbrushes frequently and that is relevant for the toothpaste too. That's what we're trying to change. They don't brush their teeth. Besides - toothbrushes should be replaced every 3 months. We need your support so Novinite.com can keep delivering news and information about Bulgaria! Thank you! Google Street View is again on its way through Bulgaria Bulgaria has the Largest Gray Economy in Europe","BUL","bulgarian",0,0,0,0
"26",79,"https://www.novinite.com/articles/202968/After+Brexit%3A+Bulgarians+Will+be+Able+to+Travel+to+the+UK+with+an+ID+Card","After Brexit: Bulgarians Will be Able to Travel to the UK with an ID Card","HOT: » Greek Ambassador: Bulgaria is our Most Important Economic and Trade partner in the Region #AmbassadorTalks  After Brexit, Bulgarians will be able to travel to the UK with an ID card. This was reported to BTV by British Ambassador to Bulgaria Emma Hopkins. ""You may currently travel with your ID to the UK, there may be a change at some future stage, but we will inform people early enough. If you want to visit a museum, exhibition or a restaurant, you can get on a plane, go to the UK and stay there for up to 3 months,"" Hopkins said. ""There will be new rules for those wishing to stay in the UK for more than 90 days after January 1, 2021, and they will be announced on time. Visas will not be required for stays under 90 days,"" she said. We need your support so Novinite.com can keep delivering news and information about Bulgaria! Thank you! Google Street View is again on its way through Bulgaria Bulgaria has the Largest Gray Economy in Europe","BUL","bulgarian",0,0,0,0
"27",82,"https://www.novinite.com/articles/203082/Eurostat%3A+Bulgarians+in+the+European+Union+Don%27t+Work+from+Home","Eurostat: Bulgarians in the European Union Don't Work from Home  Novinite.com  Sofia News Agency","HOT: » Greek Ambassador: Bulgaria is our Most Important Economic and Trade partner in the Region #AmbassadorTalks  In 2018, 5.2% of employed persons aged 15 to 64 in the European Union (EU) usually worked from home. This share has remained constant at around 5% throughout the last decade. However, over the same period, the share of those who sometimes work from home increased from 5.8% in 2008 to 8.3% in 2018. With 14.0% of employed people usually working from home in 2018, the Netherlands topped the list of EU Member States, closely followed by Finland (13.3%), Luxembourg (11.0%) and Austria (10.0%). In contrast, very few people usually worked from home in Bulgaria (0.3%) and Romania (0.4%). In the EU, the self-employed usually worked from home (18.5%) more often than employees (3.0%). This pattern was repeated in each Member State. The highest rates recorded were in Finland where more than 40% of self-employed persons usually worked from home (46.4%), the Netherlands (44.5%) and Austria (43.6%). More women than men work from home In 2018, a slightly higher share of women usually worked from home (5.5%) than men (5.0%). This was the case in most EU Member States, with the largest differences observed in France (8.1% of women, compared to 5.2% of men), Luxembourg (12.5% of women, 9.8% of men) and Malta (7.4% of women, 4.7% of men). In contrast, in eight EU Member States, the situation was the reverse, with more men usually working from home than women. In the Netherlands (15.5% of men, compared to 12.3% of women), Denmark (8.5% of men, 7.0% of women) and Ireland (7.2% of men, 5.7% of women) this difference was especially large. Older persons work from home more often than younger ones The share of those working from home increases with age. In the EU, just 1.8% of 15-24 year-olds usually worked from home in 2018, compared to 5.0% among 25-49 year-olds and 6.4% among 50-64 year-olds. The highest share of 15-24 year-olds who usually worked from home was recorded in Luxembourg (8.7%). The next highest Member State was Estonia (5.2%). For the other age categories, the Netherlands recorded the highest shares of those usually working from home (14.9% among 25-49 year-olds and 17.3% among 50-64 year-olds). They were followed by Finland (14.0% among 25-49 year-olds and 15.6% among 50-64 year-olds). We need your support so Novinite.com can keep delivering news and information about Bulgaria! Thank you! Google Street View is again on its way through Bulgaria Bulgaria has the Largest Gray Economy in Europe","BUL","bulgarian",0,0,0,0
"28",85,"https://www.youtube.com/watch?v=1LME83Avjog","ANTHONY JOSHUA v KUBRAT PULEV  20,000 BULGARIANS COULD BE IN THE STADIUM","","none","bulgarian",0,0,0,0
"29",86,"https://www.novinite.com/articles/202986/The+Coronavirus+Tests+of+the+2+Bulgarians+who+Came+Back+from+Wuhan+are+Negative","The Coronavirus Tests of the 2 Bulgarians who Came Back from Wuhan are Negative  Novinite.com  Sofia News Agency","HOT: » Greek Ambassador: Bulgaria is our Most Important Economic and Trade partner in the Region #AmbassadorTalks  The two Bulgarians who came back home from the Chinese city of Wuhan passed the coronavirus tests at the MMA (Military Medical Academy) and they were negative. This was announced this morning, by Prof. Georgi Popov, Head of the Department of Infectious Diseases. The hospital says there is no reason for people to panic. The two traavellers, one man and one woman, are in good condition but will remain under surveillance. ""We will do a new test at the average incubation period,"" Popov said. For now, they are accommodated in controlled access rooms. We need your support so Novinite.com can keep delivering news and information about Bulgaria! Thank you! Google Street View is again on its way through Bulgaria Bulgaria has the Largest Gray Economy in Europe","none","bulgarian",0,0,0,0
